Score,Number,Total
604,47,47Ê
603,8,55Ê
602,14,69Ê
601,16,85Ê
600,16,101Ê
599,11,112Ê
598,16Ê,128Ê
597,9Ê,137Ê
596,19Ê,156Ê
595,23Ê,179Ê
594,16Ê,195Ê
593,25Ê,220Ê
592,29Ê,249Ê
591,30Ê,279Ê
590,44Ê,323Ê
589,34Ê,357Ê
588,37Ê,394Ê
587,45Ê,439Ê
586,34Ê,473Ê
585,41Ê,514Ê
584,44Ê,558Ê
583,48Ê,606Ê
582,44Ê,650Ê
581,62Ê,712Ê
580,59Ê,771Ê
579,89Ê,860Ê
578,69Ê,929Ê
577,74Ê,1003Ê
576,80Ê,1083Ê
575,76Ê,1159Ê
574,83Ê,1242Ê
573,98Ê,1340Ê
572,87Ê,1427Ê
571,92Ê,1519Ê
570,102Ê,1621Ê
569,82Ê,1703Ê
568,96Ê,1799Ê
567,113Ê,1912Ê
566,88Ê,2000Ê
565,148Ê,2148Ê
564,115Ê,2263Ê
563,138Ê,2401Ê
562,124Ê,2525Ê
561,133Ê,2658Ê
560,134Ê,2792Ê
559,132Ê,2924Ê
558,132Ê,3056Ê
557,144Ê,3200Ê
556,123Ê,3323Ê
555,133Ê,3456Ê
554,129Ê,3585Ê
553,128Ê,3713Ê
552,155Ê,3868Ê
551,170Ê,4038Ê
550,139Ê,4177Ê
549,156Ê,4333Ê
548,136Ê,4469Ê
547,154Ê,4623Ê
546,191Ê,4814Ê
545,159Ê,4973Ê
544,145Ê,5118Ê
543,185Ê,5303Ê
542,190Ê,5493Ê
541,210Ê,5703Ê
540,172Ê,5875Ê
539,193Ê,6068Ê
538,198Ê,6266Ê
537,190Ê,6456Ê
536,195Ê,6651Ê
535,197Ê,6848Ê
534,200Ê,7048Ê
533,192Ê,7240Ê
532,184Ê,7424Ê
531,212Ê,7636Ê
530,196Ê,7832Ê
529,209Ê,8041Ê
528,225Ê,8266Ê
527,198Ê,8464Ê
526,203Ê,8667Ê
525,201Ê,8868Ê
524,195Ê,9063Ê
523,240Ê,9303Ê
522,242Ê,9545Ê
521,231Ê,9776Ê
520,209Ê,9985Ê
519,243Ê,10228Ê
518,196Ê,10424Ê
517,237Ê,10661Ê
516,226Ê,10887Ê
515,225Ê,11112Ê
514,245Ê,11357Ê
513,226Ê,11583Ê
512,212Ê,11795Ê
511,252Ê,12047Ê
510,254Ê,12301Ê
509,223Ê,12524Ê
508,242Ê,12766Ê
507,240Ê,13006Ê
506,235Ê,13241Ê
505,222Ê,13463Ê
504,252Ê,13715Ê
503,221Ê,13936Ê
502,232Ê,14168Ê
501,224Ê,14392Ê
500,228Ê,14620Ê
499,256Ê,14876Ê
498,225Ê,15101Ê
497,228Ê,15329Ê
496,233Ê,15562Ê
495,237Ê,15799Ê
494,268Ê,16067Ê
493,242Ê,16309Ê
492,261Ê,16570Ê
491,262Ê,16832Ê
490,214Ê,17046Ê
489,255Ê,17301Ê
488,234Ê,17535Ê
487,250Ê,17785Ê
486,249Ê,18034Ê
485,261Ê,18295Ê
484,241Ê,18536Ê
483,225Ê,18761Ê
482,239Ê,19000Ê
481,243Ê,19243Ê
480,256Ê,19499Ê
479,275Ê,19774Ê
478,245Ê,20019Ê
477,262Ê,20281Ê
