Score,Number,Total
688,325,325
687,42,367
686,49,416
685,54,470
684,57,527
683,47,574
682,51,625
681,68,693
680,81,774
679,73,847
678,100,947
677,81,1028
676,104,1132
675,97,1229
674,98,1327
673,123,1450
672,140,1590
671,130,1720
670,165,1885
669,162,2047
668,165,2212
667,157,2369
666,158,2527
665,188,2715
664,202,2917
663,229,3146
662,228,3374
661,255,3629
660,232,3861
659,234,4095
658,250,4345
657,275,4620
656,291,4911
655,315,5226
654,299,5525
653,313,5838
652,327,6165
651,339,6504
650,365,6869
649,348,7217
648,372,7589
647,362,7951
646,425,8376
645,438,8814
644,431,9245
643,442,9687
642,476,10163
641,488,10651
640,470,11121
639,459,11580
638,487,12067
637,540,12607
636,548,13155
635,528,13683
634,575,14258
633,550,14808
632,611,15419
631,626,16045
630,638,16683
629,660,17343
628,630,17973
627,679,18652
626,665,19317
625,654,19971
624,698,20669
623,719,21388
622,749,22137
621,744,22881
620,797,23678
619,764,24442
618,734,25176
617,830,26006
616,818,26824
615,824,27648
614,827,28475
613,832,29307
612,787,30094
611,858,30952
610,881,31833
609,851,32684
608,887,33571
607,930,34501
606,888,35389
605,899,36288
604,910,37198
603,926,38124
602,958,39082
601,974,40056
600,974,41030
599,962,41992
598,931,42923
597,948,43871
596,1010,44881
595,1022,45903
594,1007,46910
593,1026,47936
592,1044,48980
591,977,49957
590,1085,51042
589,1030,52072
588,1069,53141
587,1075,54216
586,1123,55339
585,1159,56498
584,1101,57599
583,1093,58692
582,1134,59826
581,1120,60946
580,1084,62030
579,1099,63129
578,1044,64173
577,1072,65245
576,1050,66295
575,1101,67396
574,1072,68468
573,1128,69596
572,1098,70694
571,1068,71762
570,1115,72877
569,1113,73990
568,1143,75133
567,1084,76217
566,1068,77285
565,1041,78326
564,1167,79493
563,1131,80624
562,1117,81741
561,1100,82841
560,1116,83957
559,1096,85053
558,1111,86164
557,1097,87261
556,1044,88305
555,1080,89385
554,1042,90427
553,1013,91440
552,1101,92541
551,1112,93653
550,1141,94794
549,1089,95883
548,1079,96962
547,1110,98072
546,1075,99147
545,1059,100206
544,1087,101293
543,1030,102323
542,1093,103416
541,1114,104530
540,1109,105639
539,1081,106720
538,1031,107751
537,1014,108765
536,1008,109773
535,1069,110842
534,1063,111905
533,1102,113007
532,1064,114071
531,989,115060
530,1033,116093
529,1000,117093
528,1051,118144
527,1099,119243
526,1094,120337
525,1075,121412
524,1043,122455
523,1108,123563
522,1047,124610
521,1051,125661
520,1082,126743
519,1046,127789
518,1055,128844
517,1027,129871
516,1048,130919
515,1029,131948
514,1030,132978
513,1047,134025
512,1046,135071
511,1046,136117
510,1064,137181
509,1044,138225
508,959,139184
507,1046,140230
506,989,141219
505,998,142217
504,955,143172
503,1019,144191
502,1005,145196
501,969,146165
500,1008,147173
499,1032,148205
498,971,149176
497,1027,150203
496,985,151188
495,972,152160
494,937,153097
493,963,154060
492,924,154984
491,933,155917
490,968,156885
489,942,157827
488,910,158737
487,925,159662
486,913,160575
485,975,161550
484,864,162414
483,956,163370
482,925,164295
481,861,165156
480,871,166027
479,868,166895
478,906,167801
477,871,168672
476,891,169563
475,874,170437
474,830,171267
473,855,172122
472,864,172986
471,832,173818
470,855,174673
469,809,175482
468,800,176282
467,820,177102
466,858,177960
465,802,178762
464,814,179576
463,792,180368
462,788,181156
461,805,181961
460,748,182709
459,791,183500
458,766,184266
457,759,185025
456,748,185773
455,725,186498
454,745,187243
453,724,187967
452,734,188701
451,720,189421
450,679,190100
449,702,190802
448,705,191507
447,736,192243
446,700,192943
445,695,193638
444,685,194323
443,720,195043
442,648,195691
441,618,196309
440,660,196969
439,652,197621
438,655,198276
437,625,198901
436,603,199504
435,619,200123
434,607,200730
433,610,201340
432,590,201930
431,616,202546
430,539,203085
429,570,203655
428,584,204239
427,567,204806
426,555,205361
425,552,205913
424,559,206472
423,535,207007
422,547,207554
421,521,208075
420,537,208612
419,502,209114
418,520,209634
417,496,210130
416,502,210632
415,478,211110
414,499,211609
413,462,212071
412,450,212521
411,529,213050
410,475,213525
409,438,213963
408,456,214419
407,455,214874
406,468,215342
405,437,215779
404,422,216201
403,414,216615
402,437,217052
401,409,217461
400,389,217850
399,376,218226
398,398,218624
397,387,219011
396,412,219423
395,375,219798
394,385,220183
393,382,220565
392,394,220959
391,370,221329
390,347,221676
389,355,222031
388,385,222416
387,361,222777
386,345,223122
385,326,223448
384,373,223821
383,295,224116
382,354,224470
381,330,224800
380,342,225142
379,335,225477
378,335,225812
377,338,226150
376,319,226469
375,284,226753
374,279,227032
373,286,227318
372,299,227617
371,275,227892
370,289,228181
369,295,228476
368,276,228752
367,284,229036
366,285,229321
365,252,229573
364,264,229837
363,279,230116
362,253,230369
361,244,230613
360,249,230862
359,245,231107
358,225,231332
357,239,231571
356,215,231786
355,235,232021
354,217,232238
353,209,232447
352,221,232668
351,197,232865
350,222,233087
349,213,233300
348,238,233538
347,204,233742
346,218,233960
345,178,234138
344,202,234340
