,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Beijing,63073,60638,61222,68000,70517,72736,73460,76007,81000,101000,103700,109876,110259,,,,,,,
Tianjin,55074,57015,60000,61990,60000,63000,64100,64600,71000,76500,88500,88500,83500,,,,,,,33660
Hebei,486400,436200,423100,404800,418200,449800,459300,485000,503000,559000,574800,561800,,,,,,,,
Shanxi,305071,317208,339131,342278,341642,361000,361570,339592,362000,371000,370000,331000,316298,300756,,,,,108000,
Neimenggu,195000,190000,201131,199177,188000,193000,189547,205600,219134,246306,270000,239473,218716,,,,,,,
Liaoning,185000,208502,218252,225190,239000,240068,259631,245000,255000,278000,280000,290000,240000,,,,,,,
Jilin,150329,142940,148008,137681,160200,159000,162208,165000,168951,197000,208000,201000,172000,,,,,,,
Heilongjiang,169485,188000,197000,198000,204000,208000,210000,208000,195520,230000,228000,224000,,,,,,,,
Shanghai,50000,50000,51000,51000,52000,46500,59000,61200,66000,83000,108000,110000,,,,,,,,
Jiangsu,331500,330100,360400,392900,425700,450625,474229,499800,527000,546000,508000,530000,,,,,,,,
Zhejiang,306000,291300,307400,317544,308600,313000,316000,300000,300800,348500,364400,358800,,,,,,,,
Anhui,499000,498600,509900,527000,527000,511000,506000,540000,562000,573000,610000,564000,,,,,,,,
Fujian,200927,188210,188200,175000,255000,266300,250000,267082,292000,306000,312000,309276,279005,,,,,,,
Jiangxi,380000,364900,360600,354641,325972,274000,269342,288616,311651,349015,384493,384292,353278,,,,,,,
Shandong,592000,583052,601900,560000,558259,559474,550677,620000,656000,702000,781000,777541,,731000,,,,,,
Henan,983800,865800,820000,772000,724000,758400,805807,855433,952400,964400,905000,878847,,,,,,,,
Hubei,374302,362000,361478,368425,402709,438100,456900,484800,492218,519500,524400,503300,533300,460000,373000,330000,287000,230000,192000,166800
Hunan,451800,410800,401600,390000,378000,373000,363000,378000,413000,507000,534000,520000,477000,,,,,,,
Guangdong,758000,757000,733000,754000,756000,727000,692000,655000,615000,644000,614000,553000,,,,,,,,
Guangxi,408000,365000,330000,310000,315000,298000,285000,292000,299000,296000,304000,300000,,255232,,,,,,
Hainan,58775,57000,60430,62000,61095,56669,55621,54071,54700,57800,49742,42318,41085,,,,,,,
Chongqing,250473,247490,248888,255460,250594,234888,230466,216428,196759,196228,186000,177349,,,,,,,,
Sichuan,620000,582800,571300,575700,571700,538000,538299,514338,511537,511300,517600,498800,,,,,,,,
Guizhou,441731,411900,373800,330591,285000,247895,248071,243188,234692,240000,240000,225676,209956,,,,,,,
Yunnan,300296,293467,281071,272126,255997,236158,210000,224000,221000,220000,260000,200000,170000,,,,,,,
Xizang,25343,28517,23976,22590,19625,18949,19008,18000,18027,17505,15000,15263,,,,,,,,
Shaanxi,319000,319000,328000,344000,353000,366000,375268,383932,378600,405000,414000,411717,,,,,,,,
Gansu,273000,284800,296000,303800,297476,283400,295900,297000,291000,286000,290000,272000,248000,,,,,,,
Qinghai,42000,46346,44427,42682,39700,40600,40697,40658,38968,36000,41000,38000,35045,,,,,,,
Ningxia,69475,69233,69119,67708,64000,58768,60200,60166,57148,58000,58000,56553,54144,,,,,,,
Xinjiang,207400,183700,166100,160500,162600,158700,154700,147700,164200,164500,170000,154000,,,,,,,,
