Score,Number,Total
604,47,47
603,8,55
602,14,69
601,16,85
600,16,101
599,11,112
598,16,128
597,9,137
596,19,156
595,23,179
594,16,195
593,25,220
592,29,249
591,30,279
590,44,323
589,34,357
588,37,394
587,45,439
586,34,473
585,41,514
584,44,558
583,48,606
582,44,650
581,62,712
580,59,771
579,89,860
578,69,929
577,74,1003
576,80,1083
575,76,1159
574,83,1242
573,98,1340
572,87,1427
571,92,1519
570,102,1621
569,82,1703
568,96,1799
567,113,1912
566,88,2000
565,148,2148
564,115,2263
563,138,2401
562,124,2525
561,133,2658
560,134,2792
559,132,2924
558,132,3056
557,144,3200
556,123,3323
555,133,3456
554,129,3585
553,128,3713
552,155,3868
551,170,4038
550,139,4177
549,156,4333
548,136,4469
547,154,4623
546,191,4814
545,159,4973
544,145,5118
543,185,5303
542,190,5493
541,210,5703
540,172,5875
539,193,6068
538,198,6266
537,190,6456
536,195,6651
535,197,6848
534,200,7048
533,192,7240
532,184,7424
531,212,7636
530,196,7832
529,209,8041
528,225,8266
527,198,8464
526,203,8667
525,201,8868
524,195,9063
523,240,9303
522,242,9545
521,231,9776
520,209,9985
519,243,10228
518,196,10424
517,237,10661
516,226,10887
515,225,11112
514,245,11357
513,226,11583
512,212,11795
511,252,12047
510,254,12301
509,223,12524
508,242,12766
507,240,13006
506,235,13241
505,222,13463
504,252,13715
503,221,13936
502,232,14168
501,224,14392
500,228,14620
499,256,14876
498,225,15101
497,228,15329
496,233,15562
495,237,15799
494,268,16067
493,242,16309
492,261,16570
491,262,16832
490,214,17046
489,255,17301
488,234,17535
487,250,17785
486,249,18034
485,261,18295
484,241,18536
483,225,18761
482,239,19000
481,243,19243
480,256,19499
479,275,19774
478,245,20019
477,262,20281
476,227,20508
475,233,20741
474,211,20952
473,244,21196
472,241,21437
471,264,21701
470,219,21920
469,233,22153
468,255,22408
467,216,22624
466,247,22871
465,208,23079
464,208,23287
463,253,23540
462,212,23752
461,246,23998
460,237,24235
459,237,24472
458,226,24698
457,240,24938
456,226,25164
455,227,25391
454,241,25632
453,215,25847
452,219,26066
451,248,26314
450,236,26550
449,213,26763
448,213,26976
447,250,27226
446,239,27465
445,215,27680
444,207,27887
443,229,28116
442,224,28340
441,224,28564
440,201,28765
439,221,28986
438,230,29216
437,206,29422
436,194,29616
435,215,29831
434,203,30034
433,193,30227
432,185,30412
431,201,30613
430,213,30826
429,197,31023
428,189,31212
427,188,31400
426,173,31573
425,179,31752
424,180,31932
423,181,32113
422,170,32283
421,169,32452
420,184,32636
419,183,32819
418,183,33002
417,160,33162
416,171,33333
415,176,33509
414,188,33697
413,173,33870
412,189,34059
411,171,34230
410,146,34376
409,152,34528
408,145,34673
407,175,34848
406,152,35000
405,148,35148
404,164,35312
403,173,35485
402,164,35649
401,170,35819
400,164,35983
399,160,36143
398,131,36274
397,134,36408
396,149,36557
395,137,36694
394,139,36833
393,141,36974
392,125,37099
391,116,37215
390,146,37361
389,127,37488
388,136,37624
387,134,37758
386,117,37875
385,120,37995
384,115,38110
383,120,38230
382,84,38314
381,105,38419
380,100,38519
379,108,38627
378,112,38739
377,92,38831
376,104,38935
375,113,39048
374,113,39161
373,106,39267
372,101,39368
371,101,39469
370,90,39559
369,98,39657
368,87,39744
367,70,39814
366,102,39916
365,87,40003
364,86,40089
363,71,40160
362,88,40248
361,106,40354
360,92,40446
359,70,40516
358,68,40584
357,70,40654
356,82,40736
355,81,40817
354,73,40890
353,59,40949
352,71,41020
351,62,41082
350,49,41131
349,67,41198
348,55,41253
347,53,41306
346,64,41370
345,69,41439
344,40,41479
343,57,41536
342,51,41587
341,58,41645
340,46,41691
339,44,41735
338,41,41776
337,41,41817
336,49,41866
335,57,41923
334,35,41958
333,51,42009
332,43,42052
331,35,42087
330,39,42126
329,41,42167
328,45,42212
327,30,42242
326,24,42266
325,28,42294
324,27,42321
323,20,42341
322,30,42371
321,27,42398
320,35,42433
319,25,42458
318,23,42481
317,20,42501
316,25,42526
315,17,42543
314,14,42557
313,11,42568
312,15,42583
311,23,42606
310,12,42618
309,20,42638
308,27,42665
307,17,42682
306,7,42689
305,10,42699
304,14,42713
303,16,42729
302,15,42744
301,14,42758
300,11,42769
299,16,42785
298,15,42800
297,13,42813
296,13,42826
295,12,42838
294,8,42846
293,7,42853
292,10,42863
291,10,42873
290,9,42882
289,11,42893
288,8,42901
287,13,42914
286,10,42924
285,4,42928
284,5,42933
283,9,42942
282,7,42949
281,15,42964
280,10,42974
279,3,42977
278,7,42984
277,5,42989
276,9,42998
275,9,43007
274,8,43015
273,11,43026
272,5,43031
271,8,43039
270,10,43049
269,7,43056
268,8,43064
267,6,43070
266,5,43075
265,5,43080
264,5,43085
263,9,43094
262,3,43097
261,6,43103
