,Reg,JHS,Newborn,Uni,,
2018,975,,,,,-
2017,940,44421630,,,,0.7446
2016,940,43304056,,,,0.75
2015,942,43119509,,,,0.743
2014,939,42846297,,,,0.743
2013,912,44301248,,,,0.76
2012,915,47630567,,,,0.75
2011,933,50668024,,,,0.72
2010,946,52759127,,,,0.69
2009,1020,54336420,,,,0.62
2008,1050,55741542,,,,0.57
2007,1010,57208992,,,,0.56
2006,950,59373792,,,,0.57
2005,877,61718079,16170000,,,0.57
2004,729,64750006,15930000,,,0.61
2003,613,66184186,15990000,,,0.62
2002,510,66040609,16470000,,,0.63
2001,454,64310539,17020000,,,0.59
2000,375,61676458,13790000,,,0.59
1999,288,57215671,11495247,,,0.56
1998,320,,14010711,,,0.34
1997,278,,14454335,,,0.36
1996,,,15224282,,,
1995,,,16933559,,,
1994,,,16470140,,,
1993,,,17914756,,,
1992,,,18752106,,,
1991,,,20082026,,,
1990,,,26210044,,,
1989,,,25137678,,,
1988,,,24576191,,,
1987,,,25282644,,,
